所属模块,用例标题,前置条件,步骤,预期,优先级,用例类型
订单合同管理,验证添加按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-合同管理-添加按钮",正常点击,3,功能测试
订单合同管理,验证点击添加按钮输入信息后是否能保存,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加按钮-输入相关信息-点击保存",保存成功,3,功能测试
订单合同管理,验证点击添加按钮输入信息后是否能点击取消,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加按钮-输入相关信息-点击取消",取消成功,3,功能测试
订单合同管理,验证编辑按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-编辑按钮",正常点击,3,功能测试
订单合同管理,验证删除按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-删除按钮",正常点击,3,功能测试
订单合同管理,验证刷新按钮能正常点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-刷新按钮",正常点击,3,功能测试
订单合同管理,验证打印合同按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-客户信息管理-客户移交按钮",正常点击,3,功能测试
订单合同管理,验证关键字输入框能否输入数字,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-定金单号输入框处输入01-点击搜索",正常输入,3,功能测试
订单合同管理,验证高级查询按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-高级查询",正常点击,3,功能测试
订单合同管理,验证清空按钮能点击的正确性,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-关键字输入框输入1-点击清空",输入框内容清空,3,功能测试
订单合同管理,验证添加订单管理签订时间为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加-订单金额",提示必填项不能为空,3,功能测试
订单合同管理,验证添加订单管理订单金额为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加-签订时间",提示必填项不能为空,3,功能测试
订单合同管理,验证编辑订单管理签订时间为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-编辑-签订时间",提示必填项不能为空,3,功能测试
订单合同管理,验证添加订单管理订单金额为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加-订单金额",提示必填项不能为空,3,功能测试
订单合同管理,验证添加合同签订时间为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加合同-签订时间",提示必填项不能为空,3,功能测试
订单合同管理,验证添加合同处合同金额为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-添加合同-支付金额",提示必填项不能为空,3,功能测试
订单合同管理,验证新增明细处支付金额为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-新增明细-支付金额",提示必填项不能为空,3,功能测试
订单合同管理,验证新增明细处是否支付为空格,进入crm系统,"1.打开项目文件夹启动Tomcat
2.打开浏览器输入localhost:8083
3.输入验证码登录
4.点击订单合同管理-新增明细-是否支付",提示必填项不能为空,3,功能测试
